age_lower,age_upper,life_expectancy,life_expectancy_discounted
0,1,59.46492,26.91938
0,5,60.915984,27.806868
0,100,27.7845782,16.5540036
1,2,61.27875,28.02874
2,3,61.27875,28.02874
3,4,61.27875,28.02874
4,5,61.27875,28.02874
5,6,58.69967,27.84447
5,10,58.69967,27.84447
6,7,58.69967,27.84447
7,8,58.69967,27.84447
8,9,58.69967,27.84447
9,10,58.69967,27.84447
10,11,54.58646,27.06814
10,15,54.58646,27.06814
11,12,54.58646,27.06814
12,13,54.58646,27.06814
13,14,54.58646,27.06814
14,15,54.58646,27.06814
15,16,50.27401,26.07579
15,20,50.27401,26.07579
16,17,50.27401,26.07579
17,18,50.27401,26.07579
18,19,50.27401,26.07579
19,20,50.27401,26.07579
20,21,45.91644,24.91192
20,25,45.91644,24.91192
21,22,45.91644,24.91192
22,23,45.91644,24.91192
23,24,45.91644,24.91192
24,25,45.91644,24.91192
25,26,41.75975,23.69498
25,30,41.75975,23.69498
26,27,41.75975,23.69498
27,28,41.75975,23.69498
28,29,41.75975,23.69498
29,30,41.75975,23.69498
30,31,37.9085,22.49324
30,35,37.9085,22.49324
31,32,37.9085,22.49324
32,33,37.9085,22.49324
33,34,37.9085,22.49324
34,35,37.9085,22.49324
35,36,34.30199,21.28797
35,40,34.30199,21.28797
36,37,34.30199,21.28797
37,38,34.30199,21.28797
38,39,34.30199,21.28797
39,40,34.30199,21.28797
40,41,31.08663,20.1967
40,45,31.08663,20.1967
41,42,31.08663,20.1967
42,43,31.08663,20.1967
43,44,31.08663,20.1967
44,45,31.08663,20.1967
45,46,27.8331,18.9574
45,50,27.8331,18.9574
46,47,27.8331,18.9574
47,48,27.8331,18.9574
48,49,27.8331,18.9574
49,50,27.8331,18.9574
50,51,24.51472,17.52728
50,55,24.51472,17.52728
51,52,24.51472,17.52728
52,53,24.51472,17.52728
53,54,24.51472,17.52728
54,55,24.51472,17.52728
55,56,20.90535,15.69529
55,60,20.90535,15.69529
56,57,20.90535,15.69529
57,58,20.90535,15.69529
58,59,20.90535,15.69529
59,60,20.90535,15.69529
60,61,17.41479,13.71768
60,65,17.41479,13.71768
61,62,17.41479,13.71768
62,63,17.41479,13.71768
63,64,17.41479,13.71768
64,65,17.41479,13.71768
65,66,14.00645,11.54965
65,70,14.00645,11.54965
66,67,14.00645,11.54965
67,68,14.00645,11.54965
68,69,14.00645,11.54965
69,70,14.00645,11.54965
70,71,10.92658,9.394079
70,75,10.92658,9.394079
71,72,10.92658,9.394079
72,73,10.92658,9.394079
73,74,10.92658,9.394079
74,75,10.92658,9.394079
75,76,8.30634,7.404558
75,80,8.30634,7.404558
76,77,8.30634,7.404558
77,78,8.30634,7.404558
78,79,8.30634,7.404558
79,80,8.30634,7.404558
80,81,6.17265,5.667768
80,85,6.17265,5.667768
81,82,6.17265,5.667768
82,83,6.17265,5.667768
83,84,6.17265,5.667768
84,85,6.17265,5.667768
85,86,4.52803,4.259016
85,90,4.52803,4.259016
86,87,4.52803,4.259016
87,88,4.52803,4.259016
88,89,4.52803,4.259016
89,90,4.52803,4.259016
90,91,3.26217,3.168462
90,95,3.26217,3.168462
91,92,3.26217,3.168462
92,93,3.26217,3.168462
93,94,3.26217,3.168462
94,95,3.26217,3.168462
95,96,2.37195,2.358811
95,100,2.37195,2.358811
96,97,2.37195,2.358811
97,98,2.37195,2.358811
98,99,2.37195,2.358811
99,100,2.37195,2.358811
